Page-Link,SRC,Data-SRC,Title,Image-Alt,Width,Height
https://whatsintheweb.com/how-to-make-reuben-sandwiches/,https://whatsintheweb.com/wp-content/uploads/2021/07/Featured_how-make-reuben-sandwicheshtml.html.jpg,N/A,N/A,image,1200,675
https://commons.wikimedia.org/wiki/File:Havana_-_Cuba_-_0616.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Havana_-_Cuba_-_0616.jpg/800px-Havana_-_Cuba_-_0616.jpg,N/A,N/A,File:Havana - Cuba - 0616.jpg,800,533
https://commons.wikimedia.org/wiki/File:Havana_-_Cuba_-_0616.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/CC_some_rights_reserved.svg/90px-CC_some_rights_reserved.svg.png,N/A,w:en:Creative Commons,w:en:Creative Commons,90,36
https://commons.wikimedia.org/wiki/File:Havana_-_Cuba_-_0616.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Cc-by_new_white.svg/24px-Cc-by_new_white.svg.png,N/A,attribution,attribution,24,24
https://commons.wikimedia.org/wiki/File:Havana_-_Cuba_-_0616.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Cc-sa_white.svg/24px-Cc-sa_white.svg.png,N/A,share alike,share alike,24,24
https://commons.wikimedia.org/wiki/File:Havana_-_Cuba_-_0616.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Dialog-warning-yellow.svg/64px-Dialog-warning-yellow.svg.png,N/A,N/A,Personality rights,64,64
https://commons.wikimedia.org/wiki/File:Havana_-_Cuba_-_0616.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Havana_-_Cuba_-_0616.jpg/120px-Havana_-_Cuba_-_0616.jpg,N/A,N/A,Thumbnail for version as of 14:10, 23 September 2013,120,80
https://commons.wikimedia.org/wiki/File:Havana_-_Cuba_-_0616.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/archive/f/fd/20130923141053%21Havana_-_Cuba_-_0616.jpg/120px-Havana_-_Cuba_-_0616.jpg,N/A,N/A,Thumbnail for version as of 22:36, 11 April 2011,120,80
https://commons.wikimedia.org/wiki/File:Havana_-_Cuba_-_0616.jpg,//commons.wikimedia.org/wiki/Special:CentralAutoLogin/start?type=1x1,N/A,N/A,N/A,1,1
https://commons.wikimedia.org/wiki/File:Havana_-_Cuba_-_0616.jpg,/static/images/footer/wikimedia-button.png,N/A,N/A,Wikimedia Foundation,88,31
https://commons.wikimedia.org/wiki/File:Havana_-_Cuba_-_0616.jpg,/static/images/footer/poweredby_mediawiki_88x31.png,N/A,N/A,Powered by MediaWiki,88,31
